Cluster,Centroid,NumFiles
0,[[0. 0. 0. ... 0. 0. 0.]],45
1,[[0.00441158 0.         0.         ... 0.         0.         0.        ]],71
2,[[0.00092769 0.         0.         ... 0.         0.         0.        ]],55
3,[[0.00513898 0.         0.01022399 ... 0.         0.         0.        ]],47
4,[[0.         0.0013067  0.         ... 0.         0.00197871 0.00133716]],54
5,[[0.00611751 0.         0.         ... 0.         0.         0.        ]],46
6,[[0. 0. 0. ... 0. 0. 0.]],47
7,[[0. 0. 0. ... 0. 0. 0.]],47
8,[[0.00159991 0.         0.         ... 0.         0.         0.        ]],46
9,[[0.         0.         0.         ... 0.00122757 0.         0.        ]],33
